


##               1. Calcolare la media dei voti di ogni appello d'esame             ##


mysql> SELECT AVG(`vote`) AS `vote_avarage`, `exam_id` AS `exam_session_id`
    ->  FROM `exam_student`
    ->  GROUP BY `exam_session_id`;
+--------------+-----------------+
| vote_avarage | exam_session_id |
+--------------+-----------------+
|      16.8824 |               1 |
|      16.4615 |               2 |
|      20.3333 |               3 |
|      27.0000 |               4 |
|      17.5000 |               6 |
|      19.6000 |               7 |
|       6.5000 |               8 |
|      12.0000 |               9 |
|      17.4324 |              11 |
|      14.8889 |              12 |
|      22.0000 |              13 |
|      18.0526 |              16 |
|      19.0000 |              17 |
|       5.5000 |              18 |
|      22.0000 |              19 |
|      16.6176 |              21 |
|      15.0000 |              22 |
|      12.7500 |              23 |
|      12.0000 |              24 |
|       3.0000 |              25 |
|      19.1667 |              26 |
|      24.5000 |              27 |
|      16.9583 |              31 |
|      17.2500 |              32 |
|      20.1818 |              36 |
|      22.0000 |              37 |
|      19.5263 |              41 |
|      20.6000 |              42 |
|      17.4000 |              46 |
|      16.3333 |              47 |
|      17.4400 |              51 |
|      18.1667 |              52 |
|      11.0000 |              53 |
|      19.3333 |              54 |
|      17.4545 |              56 |
|      15.2000 |              57 |
|       9.0000 |              58 |
|      14.0000 |              59 |
|      21.6667 |              61 |
|      17.2000 |              66 |
|      22.2500 |              67 |
|      21.0000 |              68 |
|      24.0000 |              71 |
|      14.0000 |              72 |
|      26.0000 |              73 |
|      20.5455 |              76 |
|      22.0000 |              77 |
|       8.0000 |              78 |
|      32.0000 |              79 |
|      15.8750 |              81 |
|      27.0000 |              82 |
|      20.1538 |              86 |
|      13.0000 |              87 |
|      28.0000 |              88 |
|      12.1111 |              91 |
|      23.3333 |              92 |
|      18.3800 |              96 |
|      17.3889 |              97 |
|      11.3333 |              98 |
|      20.0000 |              99 |
|      16.5000 |             101 |
|      19.2000 |             102 |
|      18.8000 |             103 |
|      12.5000 |             104 |
|      17.3889 |             106 |
|      15.0000 |             107 |
|      20.0000 |             108 |
|      16.4681 |             111 |
|      15.5833 |             112 |
|      24.5000 |             113 |
|      14.2391 |             116 |
|      16.9412 |             117 |
|      19.0000 |             118 |
|       9.0000 |             119 |
|      19.5556 |             121 |
|      19.1667 |             122 |
|      12.5000 |             123 |
|      19.5000 |             126 |
|      16.7000 |             127 |
|      10.6000 |             128 |
|      24.0000 |             129 |
|      17.2857 |             131 |
|      14.9167 |             132 |
|      14.0000 |             133 |
|      12.0000 |             134 |
|      16.6563 |             136 |
|      11.3636 |             137 |
|      14.7500 |             138 |
|       4.0000 |             139 |
|      19.0000 |             140 |
|      18.8857 |             141 |
|      14.0000 |             142 |
|      10.0000 |             143 |
|      17.5556 |             146 |
|      12.7778 |             147 |
|      17.0000 |             148 |
|      17.8710 |             151 |
|      14.8571 |             152 |
|      25.0000 |             153 |
|      17.6250 |             156 |
|      16.7273 |             157 |
|      19.2500 |             158 |
|      19.3214 |             161 |
|      18.2857 |             162 |
|       7.0000 |             163 |
|      20.0000 |             164 |
|      16.5000 |             166 |
|      12.6000 |             167 |
|       8.0000 |             168 |
|      13.4722 |             171 |
|      17.1667 |             172 |
|      18.0000 |             173 |
|      17.8788 |             176 |
|      17.0000 |             177 |
|      28.6667 |             178 |
|      23.5294 |             181 |
|      19.2222 |             186 |
|      26.2500 |             187 |
|      20.1579 |             191 |
|      17.5000 |             192 |
|      19.0000 |             193 |
|      21.7273 |             196 |
|      24.0000 |             197 |
|      19.8000 |             201 |
|      19.4286 |             206 |
|       9.5000 |             207 |
|      10.5000 |             208 |
|      26.5000 |             209 |
|      14.0000 |             211 |
|      25.0000 |             212 |
|      32.0000 |             213 |
|      19.3158 |             216 |
|      13.6000 |             217 |
|      21.0000 |             218 |
|      18.8667 |             221 |
|      23.0000 |             222 |
|      26.0000 |             223 |
|      18.3704 |             226 |
|      20.4000 |             227 |
|      21.5000 |             228 |
|       4.0000 |             229 |
|      26.0000 |             230 |
|      19.0000 |             231 |
|      16.5000 |             232 |
|      29.0000 |             233 |
|      16.6923 |             236 |
|      20.6667 |             237 |
|       5.0000 |             238 |
|      10.0000 |             239 |
|      17.3667 |             241 |
|      18.8889 |             242 |
|      22.6667 |             243 |
|      20.7333 |             246 |
|      13.2500 |             247 |
|      18.0000 |             248 |
|      26.0000 |             249 |
|      12.8485 |             251 |
|      17.7692 |             252 |
|       7.6667 |             253 |
|       8.0000 |             254 |
|      18.0000 |             256 |
|      22.6250 |             257 |
|      27.5000 |             258 |
|      18.7931 |             261 |
|      19.6000 |             262 |
|      17.6364 |             266 |
|      18.3333 |             267 |
|      17.5000 |             268 |
|      19.2500 |             271 |
|      22.3333 |             272 |
|      19.0000 |             273 |
|      20.8333 |             276 |
|      21.7143 |             277 |
|      17.5000 |             278 |
|      15.0435 |             281 |
|      17.3333 |             282 |
|      33.0000 |             283 |
|      13.7143 |             286 |
|      18.7500 |             287 |
|      16.5000 |             288 |
|      18.5714 |             291 |
|       6.0000 |             292 |
